ORDINE_CODICE_ATECO_2025,CODICE_ATECO_2025,TITOLO_ITALIANO_ATECO_2025,TITOLO_INGLESE_ATECO_2025,TITOLO_TEDESCO_ATECO_2025,GERARCHIA_ATECO_2025,CODICE_PADRE_ATECO_2025,GERARCHIA_PADRE_ATECO_2025
887,26.11.00,Fabbricazione di componenti elettronici,Manufacture of electronic components,Herstellung von elektronischen Bauelementen,6,26.11.0,5
888,26.12,Fabbricazione di schede elettroniche integrate,Manufacture of loaded electronic boards,Herstellung von bestückten Leiterplatten,4,26.1,3
889,26.12.0,Fabbricazione di schede elettroniche integrate,Manufacture of loaded electronic boards,Herstellung von bestückten Leiterplatten,5,26.12,4
890,26.12.00,Fabbricazione di schede elettroniche integrate,Manufacture of loaded electronic boards,Herstellung von bestückten Leiterplatten,6,26.12.0,5
891,26.2,Fabbricazione di computer e unità periferiche,Manufacture of computers and peripheral equipment,Herstellung von Datenverarbeitungsgeräten und peripheren Geräten,3,26,2
892,26.20,Fabbricazione di computer e unità periferiche,Manufacture of computers and peripheral equipment,Herstellung von Datenverarbeitungsgeräten und peripheren Geräten,4,26.2,3
893,26.20.0,Fabbricazione di computer e unità periferiche,Manufacture of computers and peripheral equipment,Herstellung von Datenverarbeitungsgeräten und peripheren Geräten,5,26.20,4
894,26.20.00,Fabbricazione di computer e unità periferiche,Manufacture of computers and peripheral equipment,Herstellung von Datenverarbeitungsgeräten und peripheren Geräten,6,26.20.0,5
895,26.3,Fabbricazione di apparecchiature per le comunicazioni,Manufacture of communication equipment,Herstellung von Geräten und Einrichtungen der Telekommunikationstechnik,3,26,2
896,26.30,Fabbricazione di apparecchiature per le comunicazioni,Manufacture of communication equipment,Herstellung von Geräten und Einrichtungen der Telekommunikationstechnik,4,26.3,3
897,26.30.0,Fabbricazione di apparecchiature per le comunicazioni,Manufacture of communication equipment,Herstellung von Geräten und Einrichtungen der Telekommunikationstechnik,5,26.30,4
898,26.30.01,Fabbricazione di apparecchiature trasmittenti radiotelevisive,Manufacture of radio and television studio and broadcasting equipment,Herstellung von Rundfunk- und Fernsehsendegeräten,6,26.30.0,5
899,26.30.09,Fabbricazione di altre apparecchiature per le comunicazioni,Manufacture of other communication equipment,Herstellung von anderen Geräten und Einrichtungen der Telekommunikationstechnik,6,26.30.0,5
900,26.4,Fabbricazione di prodotti di elettronica di consumo,Manufacture of consumer electronics,Herstellung von Geräten der Unterhaltungselektronik,3,26,2
901,26.40,Fabbricazione di prodotti di elettronica di consumo,Manufacture of consumer electronics,Herstellung von Geräten der Unterhaltungselektronik,4,26.4,3
902,26.40.0,Fabbricazione di prodotti di elettronica di consumo,Manufacture of consumer electronics,Herstellung von Geräten der Unterhaltungselektronik,5,26.40,4
903,26.40.01,Fabbricazione di console per videogiochi,Manufacture of video game consoles,Herstellung von Konsolen für Computerspiele,6,26.40.0,5
904,26.40.09,Fabbricazione di altri prodotti di elettronica di consumo,Manufacture of other consumer electronics,Herstellung von anderen Geräten der Unterhaltungselektronik,6,26.40.0,5
905,26.5,Fabbricazione di strumenti di misurazione e prova e di orologi,"Manufacture of measuring testing instruments, clocks and watches",Herstellung von Mess- und Kontrollinstrumenten sowie von Uhren,3,26,2
906,26.51,"Fabbricazione di strumenti e apparecchi di misurazione, prova e navigazione","Manufacture of instruments and appliances for measuring, testing and navigation","Herstellung von Mess-, Kontroll-, Navigations- u. Ä. Instrumenten und Vorrichtungen",4,26.5,3
907,26.51.1,"Fabbricazione di strumenti per navigazione, idrologia, geofisica e meteorologia","Manufacture of instruments and appliances for navigation, hydrology, geophysics and meteorology","Herstellung von Instrumenten für Navigation, Hydrologie, Geophysik und Meteorologie",5,26.51,4
908,26.51.10,"Fabbricazione di strumenti per navigazione, idrologia, geofisica e meteorologia","Manufacture of instruments and appliances for navigation, hydrology, geophysics and meteorology","Herstellung von Instrumenten für Navigation, Hydrologie, Geophysik und Meteorologie",6,26.51.1,5
909,26.51.2,Fabbricazione di altri strumenti e apparecchi di misurazione e prova,Manufacture of other instruments and appliances for measuring and testing,Herstellung von anderen Mess- und Kontrollinstrumenten und -vorrichtungen,5,26.51,4
910,26.51.21,Fabbricazione di sistemi antifurto e antincendio,Manufacture of burglar and fire alarm systems,Herstellung von Diebstahlsicherungs- und Brandschutzsystemen,6,26.51.2,5
911,26.51.29,Fabbricazione di altri strumenti e apparecchi di misurazione e prova n.c.a.,Manufacture of other instruments and appliances for measuring and testing n.e.c.,Herstellung von anderen Mess- und Kontrollinstrumenten und -vorrichtungen a. n. g.,6,26.51.2,5
912,26.52,Fabbricazione di orologi,Manufacture of watches and clocks,Herstellung von Uhren,4,26.5,3
913,26.52.0,Fabbricazione di orologi,Manufacture of watches and clocks,Herstellung von Uhren,5,26.52,4
914,26.52.00,Fabbricazione di orologi,Manufacture of watches and clocks,Herstellung von Uhren,6,26.52.0,5
915,26.6,"Fabbricazione di apparecchiature per irradiazione, elettromedicali ed elettroterapeutiche","Manufacture of irradiation, electromedical and electrotherapeutic equipment",Herstellung von Bestrahlungs- und Elektrotherapiegeräten und elektromedizinischen Geräten,3,26,2
916,26.60,"Fabbricazione di apparecchiature per irradiazione, elettromedicali ed elettroterapeutiche","Manufacture of irradiation, electromedical and electrotherapeutic equipment",Herstellung von Bestrahlungs- und Elektrotherapiegeräten und elektromedizinischen Geräten,4,26.6,3
917,26.60.0,"Fabbricazione di apparecchiature per irradiazione, elettromedicali ed elettroterapeutiche","Manufacture of irradiation, electromedical and electrotherapeutic equipment",Herstellung von Bestrahlungs- und Elektrotherapiegeräten und elektromedizinischen Geräten,5,26.60,4
918,26.60.01,"Fabbricazione di apparecchiature per irradiazione, elettromedicali ed elettroterapeutiche per usi medici","Manufacture of medical irradiation, electromedical and electrotherapeutic equipment",Herstellung von Bestrahlungs- und Elektrotherapiegeräten und elektromedizinischen Geräten für medizinische Zwecke,6,26.60.0,5
919,26.60.02,"Fabbricazione di apparecchiature per irradiazione, elettromedicali ed elettroterapeutiche per usi non medici","Manufacture of non-medical irradiation, electromedical and electrotherapeutic equipment",Herstellung von Bestrahlungs- und Elektrotherapiegeräten und elektromedizinischen Geräten für nicht-medizinische Zwecke,6,26.60.0,5
920,26.7,"Fabbricazione di strumenti ottici, supporti magnetici e ottici e apparecchiature fotografiche","Manufacture of optical instruments, magnetic and optical media and photographic equipment",Herstellung von optischen und fotografischen Instrumenten und Geräten sowie von magnetischen und optischen Datenträgern,3,26,2
921,26.70,"Fabbricazione di strumenti ottici, supporti magnetici e ottici e apparecchiature fotografiche","Manufacture of optical instruments, magnetic and optical media and photographic equipment",Herstellung von optischen und fotografischen Instrumenten und Geräten sowie von magnetischen und optischen Datenträgern,4,26.7,3
922,26.70.1,"Fabbricazione di strumenti ottici, strumenti ottici di precisione, misurazione e controllo","Manufacture of optical instruments, optical precision tools and optical measuring and checking devices and instruments","Herstellung von optischen Instrumenten, optischen Präzisions-, Mess- und Kontrollgeräten",5,26.70,4
923,26.70.11,Fabbricazione di strumenti ottici e strumenti ottici di precisione,Manufacture of optical instruments and optical precision tools,Herstellung von optischen Instrumenten und optischen Präzisionsgeräten,6,26.70.1,5
924,26.70.12,Fabbricazione di strumenti ottici di misurazione e controllo,Manufacture of optical measuring and checking devices and instruments,Herstellung von optischen Mess- und Kontrollgeräten,6,26.70.1,5
925,26.70.2,Fabbricazione di supporti magnetici e ottici,Manufacture of magnetic and optical media,Herstellung von magnetischen und optischen Datenträgern,5,26.70,4
926,26.70.20,Fabbricazione di supporti magnetici e ottici,Manufacture of magnetic and optical media,Herstellung von magnetischen und optischen Datenträgern,6,26.70.2,5
927,26.70.3,Fabbricazione di apparecchiature fotografiche,Manufacture of photographic equipment,Herstellung von fotografischen Geräten,5,26.70,4
928,26.70.30,Fabbricazione di apparecchiature fotografiche,Manufacture of photographic equipment,Herstellung von fotografischen Geräten,6,26.70.3,5
929,27,Fabbricazione di apparecchiature elettriche,Manufacture of electrical equipment,Herstellung von elektrischen Ausrüstungen,2,C,1
930,27.1,"Fabbricazione di motori, generatori e trasformatori elettrici e di apparecchiature per la distribuzione e il controllo dell'elettricità","Manufacture of electric motors, generators, transformers and electricity distribution and control apparatus","Herstellung von Elektromotoren, Generatoren, Transformatoren, Elektrizitätsverteilungs- und -schalteinrichtungen",3,27,2
931,27.11,"Fabbricazione di motori, generatori e trasformatori elettrici","Manufacture of electric motors, generators and transformers","Herstellung von Elektromotoren, Generatoren und Transformatoren",4,27.1,3
932,27.11.0,"Fabbricazione di motori, generatori e trasformatori elettrici","Manufacture of electric motors, generators and transformers","Herstellung von Elektromotoren, Generatoren und Transformatoren",5,27.11,4
933,27.11.00,"Fabbricazione di motori, generatori e trasformatori elettrici","Manufacture of electric motors, generators and transformers","Herstellung von Elektromotoren, Generatoren und Transformatoren",6,27.11.0,5
934,27.12,Fabbricazione di apparecchiature per la distribuzione e il controllo dell'elettricità,Manufacture of electricity distribution and control apparatus,Herstellung von Elektrizitätsverteilungs- und -schalteinrichtungen,4,27.1,3
935,27.12.0,Fabbricazione di apparecchiature per la distribuzione e il controllo dell'elettricità,Manufacture of electricity distribution and control apparatus,Herstellung von Elektrizitätsverteilungs- und -schalteinrichtungen,5,27.12,4
936,27.12.00,Fabbricazione di apparecchiature per la distribuzione e il controllo dell'elettricità,Manufacture of electricity distribution and control apparatus,Herstellung von Elektrizitätsverteilungs- und -schalteinrichtungen,6,27.12.0,5
937,27.2,Fabbricazione di batterie e accumulatori,Manufacture of batteries and accumulators,Herstellung von Batterien und Akkumulatoren,3,27,2
938,27.20,Fabbricazione di batterie e accumulatori,Manufacture of batteries and accumulators,Herstellung von Batterien und Akkumulatoren,4,27.2,3
939,27.20.0,Fabbricazione di batterie e accumulatori,Manufacture of batteries and accumulators,Herstellung von Batterien und Akkumulatoren,5,27.20,4
940,27.20.00,Fabbricazione di batterie e accumulatori,Manufacture of batteries and accumulators,Herstellung von Batterien und Akkumulatoren,6,27.20.0,5
941,27.3,Fabbricazione di cablaggi e attrezzature per cablaggio,Manufacture of wiring and wiring devices,Herstellung von Kabeln und elektrischem Installationsmaterial,3,27,2
942,27.31,Fabbricazione di cavi in fibra ottica,Manufacture of fibre optic cables,Herstellung von Glasfaserkabeln,4,27.3,3
943,27.31.0,Fabbricazione di cavi in fibra ottica,Manufacture of fibre optic cables,Herstellung von Glasfaserkabeln,5,27.31,4
944,27.31.00,Fabbricazione di cavi in fibra ottica,Manufacture of fibre optic cables,Herstellung von Glasfaserkabeln,6,27.31.0,5
945,27.32,Fabbricazione di altri fili e cavi elettronici ed elettrici,Manufacture of other electronic and electric wires and cables,Herstellung von sonstigen elektronischen und elektrischen Drähten und Kabeln,4,27.3,3
946,27.32.0,Fabbricazione di altri fili e cavi elettronici ed elettrici,Manufacture of other electronic and electric wires and cables,Herstellung von sonstigen elektronischen und elektrischen Drähten und Kabeln,5,27.32,4
947,27.32.00,Fabbricazione di altri fili e cavi elettronici ed elettrici,Manufacture of other electronic and electric wires and cables,Herstellung von sonstigen elektronischen und elektrischen Drähten und Kabeln,6,27.32.0,5
948,27.33,Fabbricazione di attrezzature per cablaggio,Manufacture of wiring devices,Herstellung von elektrischem Installationsmaterial,4,27.3,3
949,27.33.0,Fabbricazione di attrezzature per cablaggio,Manufacture of wiring devices,Herstellung von elektrischem Installationsmaterial,5,27.33,4
950,27.33.00,Fabbricazione di attrezzature per cablaggio,Manufacture of wiring devices,Herstellung von elektrischem Installationsmaterial,6,27.33.0,5
951,27.4,Fabbricazione di apparecchiature per l'illuminazione,Manufacture of lighting equipment,Herstellung von Lampen und Leuchten,3,27,2
952,27.40,Fabbricazione di apparecchiature per l'illuminazione,Manufacture of lighting equipment,Herstellung von Lampen und Leuchten,4,27.4,3
953,27.40.0,Fabbricazione di apparecchiature per l'illuminazione,Manufacture of lighting equipment,Herstellung von Lampen und Leuchten,5,27.40,4
954,27.40.01,Fabbricazione di apparecchiature per l'illuminazione per mezzi di trasporto,Manufacture of lighting equipment for transportation equipment,Herstellung von Lampen und Leuchten für Verkehrsmittel,6,27.40.0,5
955,27.40.02,Fabbricazione di luminarie per feste,Manufacture of festive illuminations,Herstellung von Festbeleuchtungen,6,27.40.0,5
956,27.40.09,Fabbricazione di altre apparecchiature per l'illuminazione,Manufacture of other lighting equipment,Herstellung von sonstigen Lampen und Leuchten,6,27.40.0,5
957,27.5,Fabbricazione di apparecchi per uso domestico,Manufacture of domestic appliances,Herstellung von Haushaltsgeräten,3,27,2
958,27.51,Fabbricazione di elettrodomestici,Manufacture of electric domestic appliances,Herstellung von elektrischen Haushaltsgeräten,4,27.5,3
959,27.51.0,Fabbricazione di elettrodomestici,Manufacture of electric domestic appliances,Herstellung von elektrischen Haushaltsgeräten,5,27.51,4
960,27.51.00,Fabbricazione di elettrodomestici,Manufacture of electric domestic appliances,Herstellung von elektrischen Haushaltsgeräten,6,27.51.0,5
961,27.52,Fabbricazione di apparecchi non elettrici per uso domestico,Manufacture of non-electric domestic appliances,Herstellung von nichtelektrischen Haushaltsgeräten,4,27.5,3
962,27.52.0,Fabbricazione di apparecchi non elettrici per uso domestico,Manufacture of non-electric domestic appliances,Herstellung von nichtelektrischen Haushaltsgeräten,5,27.52,4
963,27.52.00,Fabbricazione di apparecchi non elettrici per uso domestico,Manufacture of non-electric domestic appliances,Herstellung von nichtelektrischen Haushaltsgeräten,6,27.52.0,5
964,27.9,Fabbricazione di altre apparecchiature elettriche,Manufacture of other electrical equipment,Herstellung von sonstigen elektrischen Ausrüstungen und Geräten,3,27,2
965,27.90,Fabbricazione di altre apparecchiature elettriche,Manufacture of other electrical equipment,Herstellung von sonstigen elektrischen Ausrüstungen und Geräten,4,27.9,3
966,27.90.0,Fabbricazione di altre apparecchiature elettriche,Manufacture of other electrical equipment,Herstellung von sonstigen elektrischen Ausrüstungen und Geräten,5,27.90,4
967,27.90.01,Fabbricazione di apparecchiature elettriche per saldatura e brasatura,Manufacture of electrical welding and soldering equipment,Herstellung von elektrischen Geräten zum Schweißen und Löten,6,27.90.0,5
968,27.90.02,Fabbricazione di insegne elettriche e apparecchiature elettriche di segnalazione,Manufacture of electrical signs and electrical signalling equipment,Herstellung von elektrischen Schildern und elektrischen Signalgeräten,6,27.90.0,5
969,27.90.03,"Fabbricazione di capacitori, resistenze, condensatori elettrici e simili","Manufacture of electrical capacitors, resistors, condensers and similar components","Herstellung von elektrischen Kondensatoren, Widerständen u. Ä.",6,27.90.0,5
970,27.90.04,"Fabbricazione di apparecchiature elettriche per parrucchieri, solarium e centri estetici","Manufacture of electrical equipment for hairdressers, solariums and beauty centres","Herstellung von elektrischen Ausrüstungen und Geräten für Frisörsalons, Bräunungsstudios und Schönheitszentren",6,27.90.0,5
971,27.90.09,Fabbricazione di altre apparecchiature elettriche n.c.a.,Manufacture of other electrical equipment n.e.c.,Herstellung von sonstigen elektrischen Ausrüstungen und Geräten a. n. g.,6,27.90.0,5
972,28,Fabbricazione di macchinari e apparecchiature n.c.a.,Manufacture of machinery and equipment n.e.c.,Maschinenbau a. n. g.,2,C,1
973,28.1,Fabbricazione di macchine di impiego generale,Manufacture of general-purpose machinery,Herstellung von nicht wirtschaftszweigspezifischen Maschinen,3,28,2
974,28.11,"Fabbricazione di motori e turbine, esclusi i motori per aeromobili, veicoli e motocicli","Manufacture of engines and turbines, except aircraft, vehicle and cycle engines","Herstellung von Verbrennungsmotoren und Turbinen, ohne Motoren für Luft- und Straßenfahrzeuge",4,28.1,3
975,28.11.1,"Fabbricazione di motori, esclusi motori per aeromobili, veicoli e motocicli","Manufacture of engines, except aircraft, vehicle and cycle engines","Herstellung von Verbrennungsmotoren, ohne Motoren für Luft- und Straßenfahrzeuge",5,28.11,4
976,28.11.10,"Fabbricazione di motori, esclusi motori per aeromobili, veicoli e motocicli","Manufacture of engines, except aircraft, vehicle and cycle engines","Herstellung von Verbrennungsmotoren, ohne Motoren für Luft- und Straßenfahrzeuge",6,28.11.1,5
977,28.11.2,Fabbricazione di turbine,Manufacture of turbines,Herstellung von Turbinen,5,28.11,4
978,28.11.20,Fabbricazione di turbine,Manufacture of turbines,Herstellung von Turbinen,6,28.11.2,5
979,28.12,Fabbricazione di apparecchiature fluidodinamiche,Manufacture of fluid power equipment,Herstellung von hydraulischen und pneumatischen Komponenten und Systemen,4,28.1,3
980,28.12.0,Fabbricazione di apparecchiature fluidodinamiche,Manufacture of fluid power equipment,Herstellung von hydraulischen und pneumatischen Komponenten und Systemen,5,28.12,4
981,28.12.00,Fabbricazione di apparecchiature fluidodinamiche,Manufacture of fluid power equipment,Herstellung von hydraulischen und pneumatischen Komponenten und Systemen,6,28.12.0,5
982,28.13,Fabbricazione di altre pompe e compressori,Manufacture of other pumps and compressors,Herstellung von sonstigen Pumpen und Kompressoren,4,28.1,3
983,28.13.0,Fabbricazione di altre pompe e compressori,Manufacture of other pumps and compressors,Herstellung von sonstigen Pumpen und Kompressoren,5,28.13,4
984,28.13.00,Fabbricazione di altre pompe e compressori,Manufacture of other pumps and compressors,Herstellung von sonstigen Pumpen und Kompressoren,6,28.13.0,5
985,28.14,Fabbricazione di altri rubinetti e valvole,Manufacture of other taps and valves,Herstellung von sonstigen Armaturen,4,28.1,3
986,28.14.0,Fabbricazione di altri rubinetti e valvole,Manufacture of other taps and valves,Herstellung von sonstigen Armaturen,5,28.14,4
987,28.14.00,Fabbricazione di altri rubinetti e valvole,Manufacture of other taps and valves,Herstellung von sonstigen Armaturen,6,28.14.0,5
988,28.15,"Fabbricazione di cuscinetti, ingranaggi e organi di trasmissione","Manufacture of bearings, gears, gearing and driving elements","Herstellung von Lagern, Getrieben, Zahnrädern und Antriebselementen",4,28.1,3
989,28.15.0,"Fabbricazione di cuscinetti, ingranaggi e organi di trasmissione","Manufacture of bearings, gears, gearing and driving elements","Herstellung von Lagern, Getrieben, Zahnrädern und Antriebselementen",5,28.15,4
990,28.15.00,"Fabbricazione di cuscinetti, ingranaggi e organi di trasmissione","Manufacture of bearings, gears, gearing and driving elements","Herstellung von Lagern, Getrieben, Zahnrädern und Antriebselementen",6,28.15.0,5
991,28.2,Fabbricazione di altre macchine di impiego generale,Manufacture of other general-purpose machinery,Herstellung von sonstigen nicht wirtschaftszweigspezifischen Maschinen,3,28,2
992,28.21,"Fabbricazione di forni, caldaie e apparecchiature fisse per il riscaldamento domestico","Manufacture of ovens, furnaces and permanent household heating equipment","Herstellung von Öfen, Brennern und ortsfesten Heizgeräten für den Haushalt",4,28.2,3
993,28.21.1,Fabbricazione di forni,Manufacture of ovens and furnaces,Herstellung von Öfen,5,28.21,4
994,28.21.10,Fabbricazione di forni,Manufacture of ovens and furnaces,Herstellung von Öfen,6,28.21.1,5
995,28.21.2,Fabbricazione di caldaie e apparecchiature fisse per il riscaldamento domestico,Manufacture of permanent household heating equipment,Herstellung von Brennern und ortsfesten Heizgeräten für den Haushalt,5,28.21,4
996,28.21.20,Fabbricazione di caldaie e apparecchiature fisse per il riscaldamento domestico,Manufacture of permanent household heating equipment,Herstellung von Brennern und ortsfesten Heizgeräten für den Haushalt,6,28.21.2,5
997,28.22,Fabbricazione di apparecchi di sollevamento e movimentazione,Manufacture of lifting and handling equipment,Herstellung von Hebezeugen und Fördermitteln,4,28.2,3
998,28.22.0,Fabbricazione di apparecchi di sollevamento e movimentazione,Manufacture of lifting and handling equipment,Herstellung von Hebezeugen und Fördermitteln,5,28.22,4
999,28.22.01,"Fabbricazione di ascensori, scale mobili e tappeti mobili","Manufacture of lifts, escalators and moving walkways","Herstellung von Aufzügen, Rolltreppen und Fahrsteigen",6,28.22.0,5
1000,28.22.09,Fabbricazione di altri apparecchi di sollevamento e movimentazione,Manufacture of other lifting and handling equipment,Herstellung von sonstigen Hebezeugen und Fördermitteln,6,28.22.0,5
1001,28.23,"Fabbricazione di macchine e attrezzature per ufficio, esclusi computer e unità periferiche","Manufacture of office machinery and equipment, except computers and peripheral equipment","Herstellung von Büromaschinen, ohne Datenverarbeitungsgeräte und periphere Geräte",4,28.2,3
1002,28.23.0,"Fabbricazione di macchine e attrezzature per ufficio, esclusi computer e unità periferiche","Manufacture of office machinery and equipment, except computers and peripheral equipment","Herstellung von Büromaschinen, ohne Datenverarbeitungsgeräte und periphere Geräte",5,28.23,4
1003,28.23.00,"Fabbricazione di macchine e attrezzature per ufficio, esclusi computer e unità periferiche","Manufacture of office machinery and equipment, except computers and peripheral equipment","Herstellung von Büromaschinen, ohne Datenverarbeitungsgeräte und periphere Geräte",6,28.23.0,5
1004,28.24,Fabbricazione di utensili portatili a motore,Manufacture of power-driven hand tools,Herstellung von handgeführten Werkzeugen mit Motorantrieb,4,28.2,3
1005,28.24.0,Fabbricazione di utensili portatili a motore,Manufacture of power-driven hand tools,Herstellung von handgeführten Werkzeugen mit Motorantrieb,5,28.24,4
1006,28.24.00,Fabbricazione di utensili portatili a motore,Manufacture of power-driven hand tools,Herstellung von handgeführten Werkzeugen mit Motorantrieb,6,28.24.0,5
1007,28.25,Fabbricazione di apparecchiature di climatizzazione per uso non domestico,Manufacture of non-domestic air conditioning equipment,"Herstellung von kälte- und lufttechnischen Erzeugnissen, nicht für den Haushalt",4,28.2,3
1008,28.25.0,Fabbricazione di apparecchiature di climatizzazione per uso non domestico,Manufacture of non-domestic air conditioning equipment,"Herstellung von kälte- und lufttechnischen Erzeugnissen, nicht für den Haushalt",5,28.25,4
1009,28.25.00,Fabbricazione di apparecchiature di climatizzazione per uso non domestico,Manufacture of non-domestic air conditioning equipment,"Herstellung von kälte- und lufttechnischen Erzeugnissen, nicht für den Haushalt",6,28.25.0,5
1010,28.29,Fabbricazione di altre macchine di impiego generale n.c.a.,Manufacture of other general-purpose machinery n.e.c.,Herstellung von sonstigen nicht wirtschaftszweigspezifischen Maschinen a. n. g.,4,28.2,3
1011,28.29.1,Fabbricazione di bilance e distributori automatici,Manufacture of weighing machinery and automatic goods vending machines,Herstellung von Waagen und Warenverkaufsautomaten,5,28.29,4
1012,28.29.10,Fabbricazione di bilance e distributori automatici,Manufacture of weighing machinery and automatic goods vending machines,Herstellung von Waagen und Warenverkaufsautomaten,6,28.29.1,5
1013,28.29.2,Fabbricazione di impianti di distillazione o rettificazione per raffinerie di petrolio e industrie chimiche,Manufacture of distilling or rectifying plant for petroleum refineries and chemical industries,Herstellung von Destillations- oder Rektifikationsanlagen für Erdölraffinerien und Chemieindustrie,5,28.29,4
1014,28.29.20,Fabbricazione di impianti di distillazione o rettificazione per raffinerie di petrolio e industrie chimiche,Manufacture of distilling or rectifying plant for petroleum refineries and chemical industries,Herstellung von Destillations- oder Rektifikationsanlagen für Erdölraffinerien und Chemieindustrie,6,28.29.2,5
1015,28.29.3,"Fabbricazione di macchine per la dosatura, la confezione e per l'imballaggio",Manufacture of packing and wrapping machinery,"Herstellung von Maschinen für die Dosierung, Konfektionierung und Verpackung",5,28.29,4
1016,28.29.30,"Fabbricazione di macchine per la dosatura, la confezione e per l'imballaggio",Manufacture of packing and wrapping machinery,"Herstellung von Maschinen für die Dosierung, Konfektionierung und Verpackung",6,28.29.3,5
1017,28.29.4,Fabbricazione di macchine per la pulizia per uso non domestico,Manufacture of cleaning machines for non-domestic use,"Herstellung von Maschinen für die Reinigung, nicht für den Haushalt",5,28.29,4
1018,28.29.41,"Fabbricazione di macchine per la pulizia di pavimenti, superfici e ambienti per uso non domestico","Manufacture of cleaning machines for cleaning floors, surfaces and rooms for non-domestic use","Herstellung von Maschinen für die Reinigung von Böden, Flächen und Räumlichkeiten, nicht für den Haushalt",6,28.29.4,5
1019,28.29.49,Fabbricazione di altre macchine per la pulizia per uso non domestico,Manufacture of other cleaning machines for non-domestic use,"Herstellung von anderen Maschinen für die Reinigung, nicht für den Haushalt",6,28.29.4,5
1020,28.29.9,Fabbricazione di altre macchine varie di impiego generale,Manufacture of other various general-purpose machinery,Herstellung von allen anderen nicht wirtschaftszweigspezifischen Maschinen,5,28.29,4
1021,28.29.91,Fabbricazione di apparecchi per depurare e filtrare liquidi,Manufacture of filtering or purifying machinery and apparatus for liquids,Herstellung von Geräten zum Reinigen und Filtern von Flüssigkeiten,6,28.29.9,5
1022,28.29.92,"Fabbricazione di livelle, metri doppi a nastro e utensili simili, strumenti di precisione per meccanica","Manufacture of levels, tape measures and similar hand tools, machinists' precision tools","Herstellung von Wasserwaagen, Messbändern und ähnlichen Werkzeugen, Präzisionsinstrumenten für die Mechanik",6,28.29.9,5
1023,28.29.99,Fabbricazione di altre macchine varie di impiego generale n.c.a.,Manufacture of other various general-purpose machinery n.e.c.,Herstellung von allen anderen nicht wirtschaftszweigspezifischen Maschinen a. n. g.,6,28.29.9,5
1024,28.3,Fabbricazione di macchine per l'agricoltura e la silvicoltura,Manufacture of agricultural and forestry machinery,Herstellung von land- und forstwirtschaftlichen Maschinen,3,28,2
1025,28.30,Fabbricazione di macchine per l'agricoltura e la silvicoltura,Manufacture of agricultural and forestry machinery,Herstellung von land- und forstwirtschaftlichen Maschinen,4,28.3,3
1026,28.30.1,Fabbricazione di trattori per l'agricoltura e la silvicoltura,Manufacture of agriculture and forestry tractors,Herstellung von land- und forstwirtschaftlichen Zugmaschinen,5,28.30,4
1027,28.30.10,Fabbricazione di trattori per l'agricoltura e la silvicoltura,Manufacture of agriculture and forestry tractors,Herstellung von land- und forstwirtschaftlichen Zugmaschinen,6,28.30.1,5
1028,28.30.9,Fabbricazione di altre macchine per l'agricoltura e la silvicoltura,Manufacture of other agricultural and forestry machinery,Herstellung von sonstigen land- und forstwirtschaftlichen Maschinen,5,28.30,4
1029,28.30.91,Fabbricazione di macchine per il giardinaggio e la cura del verde,Manufacture of gardening and landscaping machinery,Herstellung von Maschinen für den Gartenbau und die Grünpflege,6,28.30.9,5
1030,28.30.99,Fabbricazione di altre macchine per l'agricoltura e la silvicoltura n.c.a.,Manufacture of other agricultural and forestry machinery n.e.c.,Herstellung von sonstigen land- und forstwirtschaftlichen Maschinen a. n. g.,6,28.30.9,5
1031,28.4,Fabbricazione di macchine per la deformazione dei metalli e di altre macchine utensili,Manufacture of metal forming machinery and machine tools,Herstellung von Werkzeugmaschinen,3,28,2
1032,28.41,Fabbricazione di macchine per la deformazione dei metalli e di altre macchine utensili per la lavorazione dei metalli,Manufacture of metal forming machinery and machine tools for metal work,Herstellung von Werkzeugmaschinen für die Metallbearbeitung,4,28.4,3
1033,28.41.0,Fabbricazione di macchine per la deformazione dei metalli e di altre macchine utensili per la lavorazione dei metalli,Manufacture of metal forming machinery and machine tools for metal work,Herstellung von Werkzeugmaschinen für die Metallbearbeitung,5,28.41,4
1034,28.41.00,Fabbricazione di macchine per la deformazione dei metalli e di altre macchine utensili per la lavorazione dei metalli,Manufacture of metal forming machinery and machine tools for metal work,Herstellung von Werkzeugmaschinen für die Metallbearbeitung,6,28.41.0,5
1035,28.42,Fabbricazione di altre macchine utensili,Manufacture of other machine tools,Herstellung von sonstigen Werkzeugmaschinen,4,28.4,3
1036,28.42.0,Fabbricazione di altre macchine utensili,Manufacture of other machine tools,Herstellung von sonstigen Werkzeugmaschinen,5,28.42,4
1037,28.42.00,Fabbricazione di altre macchine utensili,Manufacture of other machine tools,Herstellung von sonstigen Werkzeugmaschinen,6,28.42.0,5
1038,28.9,Fabbricazione di altre macchine per impieghi speciali,Manufacture of other special-purpose machinery,Herstellung von Maschinen für sonstige bestimmte Wirtschaftszweige,3,28,2
1039,28.91,Fabbricazione di macchine per la metallurgia,Manufacture of machinery for metallurgy,"Herstellung von Maschinen für die Metallerzeugung, von Walzwerkseinrichtungen und Gießmaschinen",4,28.9,3
1040,28.91.0,Fabbricazione di macchine per la metallurgia,Manufacture of machinery for metallurgy,"Herstellung von Maschinen für die Metallerzeugung, von Walzwerkseinrichtungen und Gießmaschinen",5,28.91,4
